Time,Open,High,Low,Close,Volume
2023-06-08T09:30:00+05:30,177.895000,180.840000,177.460000,180.570000,50210681.000000
2023-06-09T09:30:00+05:30,181.500000,182.230000,180.630000,180.960000,48869360.000000
2023-06-12T09:30:00+05:30,181.270000,183.890000,180.970000,183.790000,54754995.000000
2023-06-13T09:30:00+05:30,182.800000,184.150000,182.440000,183.310000,54867129.000000
2023-06-14T09:30:00+05:30,183.370000,184.390000,182.020000,183.950000,57462782.000000
2023-06-15T09:30:00+05:30,183.960000,186.520000,183.780000,186.010000,65433166.000000
2023-06-16T09:30:00+05:30,186.730000,186.990000,184.270000,184.920000,101151225.000000
2023-06-20T09:30:00+05:30,184.410000,186.100000,184.410000,185.010000,49799092.000000
2023-06-21T09:30:00+05:30,184.900000,185.410000,182.590100,183.960000,49515697.000000
2023-06-22T09:30:00+05:30,183.740000,187.045000,183.670000,187.000000,51245327.000000
2023-06-23T09:30:00+05:30,185.550000,187.560000,185.010000,186.680000,53112346.000000
2023-06-26T09:30:00+05:30,186.830000,188.050000,185.230000,185.270000,48088661.000000
2023-06-27T09:30:00+05:30,185.890000,188.390000,185.670000,188.060000,50731499.000000
2023-06-28T09:30:00+05:30,187.930000,189.900000,187.600000,189.250000,51216801.000000
2023-06-29T09:30:00+05:30,189.080000,190.070000,188.940000,189.590000,46347308.000000
